"Unweighted_Sample","Weighted_Sample","Question","Nationality","Gender","Rank (text)","Rank (number)","Percentage"
680,779,"They are good looking","British","Men","Ranked fifth",5,0.27
680,779,"They are good looking","British","Men","Ranked sixth",6,0.06
680,779,"They have a personality I like","British","Men","Ranked first",1,0.52
680,779,"They have a personality I like","British","Men","Ranked second",2,0.23
680,779,"They have a personality I like","British","Men","Ranked third",3,0.14
680,779,"They have a personality I like","British","Men","Ranked fourth",4,0.05
680,779,"They have a personality I like","British","Men","Ranked fifth",5,0.04
680,779,"They have a personality I like","British","Men","Ranked sixth",6,0.02
680,779,"They have a sense of humour I like","British","Men","Ranked first",1,0.13
680,779,"They have a sense of humour I like","British","Men","Ranked second",2,0.32
680,779,"They have a sense of humour I like","British","Men","Ranked third",3,0.25
680,779,"They have a sense of humour I like","British","Men","Ranked fourth",4,0.21
680,779,"They have a sense of humour I like","British","Men","Ranked fifth",5,0.08
680,779,"They have a sense of humour I like","British","Men","Ranked sixth",6,0.02
680,779,"They are intelligent","British","Men","Ranked first",1,0.1
680,779,"They are intelligent","British","Men","Ranked second",2,0.13
680,779,"They are intelligent","British","Men","Ranked third",3,0.22
680,779,"They are intelligent","British","Men","Ranked fourth",4,0.26
680,779,"They are intelligent","British","Men","Ranked fifth",5,0.27
680,779,"They are intelligent","British","Men","Ranked sixth",6,0.02
680,779,"They have/make a decent amount of money","British","Men","Ranked first",1,0.01
680,779,"They have/make a decent amount of money","British","Men","Ranked second",2,0.02
680,779,"They have/make a decent amount of money","British","Men","Ranked third",3,0.02
680,779,"They have/make a decent amount of money","British","Men","Ranked fourth",4,0.02
680,779,"They have/make a decent amount of money","British","Men","Ranked fifth",5,0.09
680,779,"They have/make a decent amount of money","British","Men","Ranked sixth",6,0.85
680,779,"They have similar interests to me","British","Men","Ranked first",1,0.1
680,779,"They have similar interests to me","British","Men","Ranked second",2,0.16
680,779,"They have similar interests to me","British","Men","Ranked third",3,0.2
680,779,"They have similar interests to me","British","Men","Ranked fourth",4,0.25
680,779,"They have similar interests to me","British","Men","Ranked fifth",5,0.26
680,779,"They have similar interests to me","British","Men","Ranked sixth",6,0.03
929,830,"They are good looking","British","Women","Ranked first",1,0.05
929,830,"They are good looking","British","Women","Ranked second",2,0.06
929,830,"They are good looking","British","Women","Ranked third",3,0.09
929,830,"They are good looking","British","Women","Ranked fourth",4,0.17
929,830,"They are good looking","British","Women","Ranked fifth",5,0.41
929,830,"They are good looking","British","Women","Ranked sixth",6,0.21
929,830,"They have a personality I like","British","Women","Ranked first",1,0.52
929,830,"They have a personality I like","British","Women","Ranked second",2,0.25
929,830,"They have a personality I like","British","Women","Ranked third",3,0.16
929,830,"They have a personality I like","British","Women","Ranked fourth",4,0.05
929,830,"They have a personality I like","British","Women","Ranked fifth",5,0.02
929,830,"They have a personality I like","British","Women","Ranked sixth",6,0.01
