Name,Location,Latitude,Longitude,Empire State Burger,Chicken Tikka,Gammon afternoon deal,Chocolate Brownie,Doom Bar,Birra Moretti,Porn Star at 2 x £12,Porn Star (glass),MEAL,Notes,Moretti as a % of a tikka,Moretti as % of burger,PRICE BUCKETS,Food cost £,Drink cost £
The Windlesora,Windsor,51.4804503,-0.6106195,£9.15,£7.69,£5.99,£4.15,£2.25,£3.09,£6.30,n/a,£26.33,,40.18%,33.77%,£25.21+,£16.84,£5.34
Sandford House,Huntingdon,52.330421,-0.1871106,£8.75,£7.59,£6.15,£3.85,£2.29,£3.09,£6.30,n/a,£25.57,,40.71%,35.31%,£25.21+,£16.34,£5.38
The Palladium,Llandudno,53.3251924,-3.8323618,£9.25,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.88,,41.76%,33.41%,£25.21+,£16.65,£5.38
Yr Hen Orsaf,Aberystwyth,52.4141759,-4.0817899,£9.25,£7.40,£5.90,£3.85,£2.29,£3.09,n/a,£5.85,£25.88,,41.76%,33.41%,£25.21+,£16.65,£5.38
The Bridge House,Belfast,54.5931208,-5.9317138,£8.95,£7.40,n/a,£3.75,£2.45,£3.09,n/a,£7.60,£25.64,K=2 for £10 or 2 for £14,41.76%,34.53%,£25.21+,£16.35,£5.54
The Dog Beck,Penrith,54.6618888,-2.7503787,£8.75,£7.40,£5.85,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Bowling Green,Otley,53.9042698,-1.6928946,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Yarborough Hotel,Grimsby,53.563935,-0.087316,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Society Rooms,Macclesfield,53.2563976,-2.1243769,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Portland Hotel,Chesterfield,53.235234,-1.431185,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Counting House,Congleton,53.163859,-2.2146526,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
Globe Hotel,King's Lynn,52.755743,0.3935791,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Romany Rye,Dereham,52.6810163,0.9393225,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,n/a,£5.99,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Black Horse,Birmingham,52.4119573,-1.9735598,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The White Hart,Aylesbury,51.8153324,-0.8097584,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Beaten Docket,"Cricklewood, London",51.5535766,-0.2114396,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
Staple Hill Oak,Bristol,51.4810666,-2.5092533,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Van Dyck Forum,Bristol,51.47954,-2.5301658,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Kingswood Colliers,Bristol,51.4623221,-2.5069756,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
St George's Hall,Bristol,51.454294,-2.603816,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Jolly Sailor,Bristol,51.4492755,-2.5172637,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
The Roberts Fitzharding,Bristol,51.4411205,-2.6009486,£8.75,£7.40,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.38,,41.76%,35.31%,£25.21+,£16.15,£5.38
