"","name","AreaSqKm","state"
"374","Ripple Lake",2.297,"MN"
"375","Sea Gull Lake",16.121,"MN"
"376","South Fowl Lake",2.14528704,"MN"
"377","Deep Lake",0.18,"MN"
"378","Camp Lake",0.145,"MN"
"379","Reese Lake",0.219,"MN"
"380","Elbow Lake",0.238,"MN"
"381","Second Lake",0.08,"MN"
"382","Iverson Lake",0.05,"MN"
"383","State Lake",0.588,"MN"
"384","Dog Lake",0.015,"MN"
"385","Duck Lake",1.24328822,"MN"
"386","Missouri Lake",0.112,"MN"
"387","Wing River Lake",0.249,"MN"
"388","Coon Lake",0.24,"MN"
"389","Long Lake",0.607,"MN"
"390","Tamarack Lake",0.064,"MN"
"391","Walker Brook Lake",0.377,"MN"
"392","South Lemmerhirt Lake",0.061,"MN"
"393","Rosen Lake",0.068,"MN"
"394","Blue Lake",0.12,"MN"
"395","Stenlund Lake",0.51443104,"MN"
"396","Seventh Lake",0.139,"MN"
"397","Sandy Lake",0.817,"MN"
"398","Kirk Lake",0.074,"MN"
"399","Brenner Lake",0.348,"MN"
"400","South Maple Lake",0.163,"MN"
"401","Stump Lake",0.052,"MN"
"402","Berg Lake",0.096,"MN"
"403","Ellen Lake",0.376,"MN"
"404","Rice Lake",0.023,"MN"
"405","Hernando DeSoto Lake",0.451,"MN"
"406","Picard Lakes",0.021,"MN"
"407","Hall Lake",0.018,"MN"
"408","Radisson Lake",0.018,"MN"
"409","Bender Lake",0.056,"MN"
"410","Lincoln Lake",0.102,"MN"
"411","English Grove Lake",0.199,"MN"
"412","Horseshoe Lake",0.05,"MN"
"413","Fools Lake",0.224,"MN"
"414","Little Dinner Lake",0.047,"MN"
"415","Myrtle Lake",0.08,"MN"
"416","Wettersten Lake",0.037,"MN"
"417","Sand Lake",0.705,"MN"
"418","Harder Lake",0.773,"MN"
"419","Coffee Break Lake",0.026,"MN"
"420","Arnolds Lake",0.184,"MN"
"421","Graning Lake",0.105,"MN"
"422","Myrtle Lake",0.46,"MN"
"423","Petes Pond",0.027,"MN"
"424","Pendergast Lake",0.334,"MN"
"425","Cottonwood Lake",0.623,"MN"
"426","Long Lake",0.345,"MN"
"427","Clear Lake",0.32,"MN"
"428","Rice Lake",1.033,"MN"
"429","Randall Lake",0.029,"MN"
"430","Gray Lake",0.006,"MN"
"431","Mud Lake",0.285,"MN"
"432","Wolf Lake",0.358,"MN"
"433","Green Lake",0.334,"MN"
"434","Swan Lake",0.82,"MN"
"435","Marge Lake",0.012,"MN"
"436","Thunder Lake",0.353,"MN"
"437","Jim Cook Lake",0.225,"MN"
"438","Henderson Lake",0.274,"MN"
"439","Fairy Lake",0.113,"MN"
"440","Paine Lake",0.968,"MN"
"441","Twin Lakes",0.196,"MN"
"442","Yaeger Lake",1.407,"MN"
"443","Hirts Lake",0.134,"MN"
"444","Stone Lake",0.144,"MN"
"445","Miller Lake",0.21,"MN"
"446","Moss Lake",0.941,"MN"
"447","Fern Lake",0.787,"MN"
"448","Mud Lake",0.041,"MN"
"449","Elkhorn Lake",0.294,"MN"
